mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
43.847,0.91,0.134,0.033,0.229,0.104,0.5,5.66,0.0
42.916,0.91,0.129,0.032,0.21600000000000005,0.1,0.476,5.6629999999999985,0.0
43.354,0.908,0.146,0.032,0.23,0.1,0.507,5.665,0.0
44.1,0.909,0.163,0.033,0.225,0.102,0.522,5.6560000000000015,0.0
43.496,0.906,0.146,0.032,0.226,0.101,0.505,5.659,0.0
41.606,0.91,0.139,0.033,0.227,0.098,0.495,5.66,0.0
44.559,0.913,0.14,0.033,0.227,0.099,0.499,5.66,0.0
44.222,0.908,0.131,0.032,0.225,0.103,0.49,5.6389999999999985,0.0
43.507,0.905,0.13699999999999998,0.031,0.224,0.1,0.4920000000000001,5.678,0.0
43.68600000000001,0.91,0.122,0.032,0.226,0.099,0.48,5.653,0.0
43.604,0.907,0.132,0.031,0.22,0.099,0.483,5.651,0.76
